aadhar_id,date,amount,transaction_type
111122223333,2024-01-01,600000,CREDIT
111122223333,2024-01-10,50000,DEBIT
222233334444,2024-02-01,300000,CREDIT
222233334444,2024-02-15,250000,DEBIT
333344445555,2024-03-01,1000000,CREDIT
333344445555,2024-03-20,200000,DEBIT
444455556666,2024-04-01,8000,CREDIT
444455556666,2024-04-05,1000,DEBIT
555566667777,2024-05-01,400000,CREDIT
555566667777,2024-05-10,100000,DEBIT
666677778888,2024-06-01,950000,CREDIT
666677778888,2024-06-20,100000,DEBIT
777788889999,2024-07-01,20000,CREDIT
777788889999,2024-07-15,1000,DEBIT
888899990000,2024-08-01,50000,CREDIT
888899990000,2024-08-10,49000,DEBIT
999900001111,2024-09-01,1200000,CREDIT
999900001111,2024-09-15,150000,DEBIT
000011112222,2024-10-01,700000,CREDIT
000011112222,2024-10-20,300000,DEBIT
999988887777,2024-11-01,150000,CREDIT
999988887777,2024-11-10,100000,CREDIT
999988887777,2024-11-20,30000,DEBIT
999988887777,2024-11-25,20000,DEBIT
123456789012,2024-11-01,100000,CREDIT
123456789012,2024-12-01,100000,CREDIT
123456789012,2025-01-01,100000,CREDIT
123456789012,2025-02-01,10000,DEBIT
123456789012,2025-03-01,10000,DEBIT
999911112222,2024-10-05,120000,CREDIT
999911112222,2024-11-07,110000,CREDIT
999911112222,2024-12-10,80000,CREDIT
999911112222,2025-01-10,15000,DEBIT
999911112222,2025-02-12,10000,DEBIT
